All,Tous
"Please enter a value less than or equal to %s.","Ce champ est obligatoire."
"Please enter a value greater than or equal to %s.","Entrez une valeur supérieure ou égale à %s."
"Insert Images...","Insérer des images..."
"The ""formElement"" configuration parameter is required for the ""%1"" field.","Le paramètre de configuration ""formElement"" est requis pour le champ ""%1""."
"'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again.""","'Le XML dans le fichier ""%1"" est non valide :' . ""\n%2\nVérifiez le XML et réessayez."""
"'The XML in file ""%1"" is invalid.' . ""\n%2\nVerify the XML and try again.""","'Le XML dans le fichier ""%1"" est non valide. ""\n%2\nVérifiez le XML et réessayez."""
"The parameter ""class"" is missing. Set the ""class"" and try again.","Le paramètre ""class"" est manquant. Définissez la ""class"" et réessayez."
"The parameter ""sortOrder"" is missing. Set the ""sortOrder"" and try again.","Le paramètre ""sortOrder"" est manquant. Définissez le ""sortOrder"" et réessayez."
"The ""%1"" UI component element name is invalid. Verify the name and try again.","Le nom de l'élément de composant ""%1"" UI est non valide. Vérifiez le nom et réessayez."
"The bookmark with ""%1"" ID doesn't exist. Verify your information and try again.","Le signet avec l'ID ""%1"" n'existe pas. Vérifiez vos informations et réessayez."
"The """" UI component element name is invalid. Verify the name and try again.","Le nom de l'élément de composant """" UI est non valide. Vérifiez le nom et réessayez."
"was not uploaded","n'a pas été téléchargé"
"Entity with ID: %s doesn't exist","Entité avec ID : %s n'existe pas"
"Open in new tab","Ouvrir dans un nouvel onglet"
"Wrong color format. Please specify color in HEX, RGBa, HSVa, HSLa or use color name.","Format de couleur incorrect. Veuillez spécifier la couleur en HEX, RGBa, HSVa, HSLa ou utilisez le nom de couleur."
"This link is not allowed.","Ce lien n'est pas autorisé."
"This element contains invalid data. Please resolve this before saving.","Cet élément contient des données non valides. Veuillez résoudre ceci avant d'enregistrer."
"Please use only lowercase letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Veuillez utiliser uniquement les lettres minuscules (a-z), les chiffres (0-9) ou les tirets bas (_) dans ce champ, et le premier caractère doit être une lettre."
"Canada Standard","Canada standard"
"Customer Packaging","Paquet fait par le client"
"Customer Supplied Package","Colis fourni par le client"
Pallet,Pallettes
"Small Express Box","Boite Express petite"
"Medium Express Box","Boite Express Medium"
"Large Express Box","Boite Express large"
"Sorry, something went wrong. Please try again or contact us and we'll try to help.","Désolé, quelque chose s'est mal passé. Merci d'essayer à nouveau ou contactez-nous et nous essaierons de vous aider."
"We can't convert a rate from ""%1-%2"".","Nous ne pouvons pas convertir un tarif de ""%1-%2""."
"Cannot retrieve shipping rates","Impossible de récupérer les taux de livraison"
"Delivery Confirmation","Confirmation de livraison"
"Signature Required","Signature obligatoire"
"Adult Signature Required","La signature d'un adulte est requise"
"United Parcel Service XML","XML UPS"
"Access License Number","Numéro de permis d'accès"
Container,Conteneur
"Destination Type","Type de destination"
"Gateway XML URL","URL XML de passerelle"
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","Poids minimal du colis (veuillez consulter votre transporteur)"
"Origin of the Shipment","Origine de la livraison"
"Pickup Method",Retrait
"Tracking XML URL","URL XML de suivi"
"UPS Type","Type UPS"
"Live Account","Compte Live"
"User ID","ID utilisateur"
"Enable Negotiated Rates","Activer les taux négociés"
"Shipper Number","Numéro du livreur"
"Required for negotiated rates; 6-character UPS","Obligatoire pour les tarifs négociés; 6 caractères UPS"
"This enables or disables SSL verification of the Magento server by UPS.","Cela active ou désactive la vérification SSL du serveur Magento par UPS."
"Live account","Compte Live"
"Request Tax-Inclusive Rate","Demander Tarif TTC"
"Edit URL Rewrite for a Category","Editer une réécriture d'URL pour une catégorie"
"Add URL Rewrite for a Category","Ajoutez une réécriture d'URL pour une catégorie"
Category:,"Catégorie :"
"We can't set up a URL rewrite because the product you chose is not associated with a website.","Nous ne pouvons pas configurer une réécriture d'URL car le produit que vous avez choisi n'est pas associé à un site Web."
"Please assign a website to the selected category.","Veuillez assigner une site web à la catégorie sélectionnée."
"Edit URL Rewrite for a Product","Editer la réécriture d'URL pour un produit"
"Add URL Rewrite for a Product","Ajoutez une réécriture d'URL pour un produit"
Product:,"Produit :"
"Skip Category Selection","Passer la sélection de catégorie"
"Edit URL Rewrite for CMS page","Editer la réécriture d'URL pour une page CMS"
"Add URL Rewrite for CMS page","Ajouter la réécriture d'URL pour une page CMS"
"CMS page:","Page CMS :"
"Please assign a website to the selected CMS page.","Veuillez assigner une site web à la page CMS sélectionnée."
"Edit URL Rewrite","Éditer la réécriture d'URL"
"Add New URL Rewrite","Nouvelle réécriture d'URL"
"URL Rewrite Information","Information sur la réécriture d'URL"
"Request Path","Chemin de requête"
"Target Path","Chemin cible"
"Redirect Type","Type de redirection"
"URL Rewrite Management","Gestion de réécriture d'URL"
"Add URL Rewrite","Ajouter une réécriture d'URL"
"For Category","Pour une catégorie"
"For Product","Pour un produit"
"For CMS page","Pour Page CMS"
"Create URL Rewrite","Créer une réécriture d'URL"
"You deleted the URL rewrite.","Vous avez supprimé la réécriture d'URL."
"We can't delete URL Rewrite right now.","Nous ne pouvons pas supprimer le réécriture d'URL en ce moment."
"The product you chose is not associated with the selected store or category.","Le produit que vous avez choisi n'est pas associé à la boutique ou à la catégorie sélectionnée."
"The category you chose is not associated with the selected store.","La catégorie que vous avez choisie n'est pas associée au magasin sélectionné."
"The URL Rewrite has been saved.","La réécriture d'URL a été sauvegardée."
"Something went wrong while saving URL Rewrite.","Une erreur s'est produite lors de l'enregistrement de la réécriture d'URL."
"Do not use two or more consecutive slashes in the request path.","N'utilisez pas 2 ou plus de slashes consécutifs dans le chemin de requête."
"Anchor symbol (#) is not supported in request path.","Le symbole dièse (#) n'est pas supporté dans le chemin de requête."
"Do not use two or more consecutive slashes in the url rewrite suffix.","N'utilisez pas 2 ou plus de slashes consécutifs dans le suffixe d'URL."
"Anchor symbol (#) is not supported in url rewrite suffix.","Le symbole dièse (#) n'est pas supporté le suffixe de réécriture d'url."
"URL key for specified store already exists","La clé URL pour le magasin spécifié existe déjà"
"Exception instance doesn't match %1 type","L'instance d'exception ne correspond pas au type %1"
"Temporary (302)","Temporaire (302)"
"Permanent (301)","Permanente (301)"
"Request Path for Specified Store","Chemin de requête pour le magasin spécifié"
"URL key for specified store already exists.","Clé d'URL"
"Custom storage message","Message de stockage personnalisé"
"The value specified in the URL Key field would generate a URL that already exists.","La valeur spécifiée dans le champ de la clé URL générerait une URL qui existe déjà."
"To resolve this conflict, you can either change the value of the URL Key field (located in the Search Engine Optimization section) to a unique value, or change the Request Path fields in all locations listed below:","Pour résoudre ce conflit, vous pouvez soit modifier la valeur du champ Clé d'URL (situé dans la section Optimisation des moteurs de recherche) à une valeur unique, soit modifier les champs de chemin de requête dans tous les emplacements listés ci-dessous :"
"For category","Pour une catégorie"
"For product","Pour un produit"
"Create URL Rewrite:","Créer une réécriture d'URL :"
"The selected product isn't associated with the selected store or category.","Le produit sélectionné n'est pas associé à la boutique ou à la catégorie sélectionnée."
"The selected category isn't associated with the selected store.","La catégorie sélectionnée n'est pas associée au magasin sélectionné."
"An error occurred while saving the URL rewrite. Please try to save again.","Une erreur s'est produite lors de l'enregistrement de la réécriture de l'URL. Veuillez essayer de sauvegarder à nouveau."
"""url"" argument should be specified and not empty","Argument ""url"" doit être spécifié et non vide"
"Delete Role","Supprimer le rôle"
Roles,Rôles
"Role Users","Utilisateurs ayant ce rôle"
"Role Resources","Ressources du rôle"
"Role Info","Infos du rôle"
"Save User","Sauvegarder l'utilisateur"
"Delete User","Supprimer l'utilisateur"
"Are you sure you want to revoke the user's tokens?","Êtes-vous sûr de vouloir révoquer les jetons de l'utilisateur ?"
"Edit User '%1'","Éditer l'utilisateur '%1'"
"New User","Nouvel utilisateur"
"Interface Locale","Traduction d'interface"
"This account is","Ce compte est"
"Account Status","Statut du compte"
"User Roles Information","Informations rôle utilisateur"
"User Information","Informations de l'utilisateur"
"User Info","Infos de l'utilisateur"
"Please correct the password reset token.","Veuillez corriger le jeton de réinitialisation de mot de passe."
"Please specify the correct account and try again.","Veuillez spécifier le compte correct, puis réessayez."
"We'll email you a link to reset your password.","Nous vous enverrons un lien pour réinitialiser votre mot de passe."
"Please correct this email address:","Veuillez corriger cette adresse mail :"
"Please enter an email address.","Veuillez saisir une adresse email."
"Locked Users","Utilisateurs verrouillés"
"Unlocked %1 user(s).","Déverrouillé %1 utilisateur (s)."
"You cannot delete your own account.","Vous ne pouvez pas supprimer votre propre compte."
"You deleted the user.","Vous avez supprimé l’utilisateur."
"We can't find a user to delete.","Nous ne pouvons pas trouver un utilisateur à supprimer."
"This user no longer exists.","Cet utilisateur n'existe plus."
"You have revoked the user's tokens.","Vous avez révoqué les jetons de l'utilisateur."
